"Produit","Sum(Quantite_Vendue)","First*(Prix_Unitaire)","Chiffre_d_Affaires"
"Calculatrice Scientifique",27,89.99,2429.73
"Caméra Conférence",5,349,1745
"Casque Audio",22,79.9,1757.8000000000002
"Casque Aviation",9,159,1431
"Casque Conduction Osseuse",5,199,995
"Casque Enfants",13,49.9,648.6999999999999
"Casque Réduction de Bruit",9,289,2601
"Casque Sans Fil",18,119,2142
"Casque Sport",17,89,1513
"Casque Studio",9,199,1791
"Casque VR",9,299.99,2699.91
"Casque Écouteurs",17,69.99,1189.83
"Clavier Azerty",45,25.5,1147.5
"Clavier Azerty Gaming",11,119.99,1319.8899999999999
"Clavier Compact",30,45.99,1379.7
"Clavier Gaming RGB",11,149.99,1649.89
"Clavier Mécanique",14,129.99,1819.8600000000001
"Clavier Numérique",33,29.99,989.67
"Clavier Rétro",23,39.99,919.7700000000001
"Clavier Rétro Mécanique",7,189.99,1329.93
"Clavier Rétro Rétroéclairé",9,99.99,899.91
"Clavier Rétroéclairé",15,89.99,1349.85
"Clavier Sans Fil",18,59.9,1078.2
"Clavier Silencieux",13,79.9,1038.7
"Câbles HDMI",90,12.99,1169.1
"Destructeur Documents",9,149,1341
"Disque Dur 2To",19,89.99,1709.81
"Disque Dur 4To",15,129.99,1949.8500000000001
"Disque Dur Externe",15,119,1785
"Disque Dur Portable",13,109.99,1429.87
"Disque Dur SSD",12,149.99,1799.88
"Disque NAS 8To",5,299.99,1499.95
"Disque SSD 2To",15,199.99,2999.8500000000004
"Disque SSD NVMe",18,129,2322
"Enceinte 2.1",7,129,903
"Enceinte Barre Son",7,399,2793
"Enceinte Bluetooth",16,89.99,1439.84
"Enceinte Bluetooth Mini",30,34.99,1049.7
"Enceinte PC",37,24.99,924.63
"Enceinte Portable",15,79,1185
"Enceinte Smart",15,159.99,2399.8500000000004
"Hub USB-C",13,34.99,454.87
"Imprimante 3D",3,799,2397
"Imprimante Jet d'encre",9,189,1701
"Imprimante Laser",8,249.5,1996
"Imprimante Multifonction",6,299,1794
"Imprimante Photo",6,399,2394
"Logiciel Bureautique",45,49.99,2249.55
"Micro Casque",22,45,990
"Micro Studio",3,449,1347
"Microphone USB",21,69.5,1459.5
"Mixeur Audio",3,299,897
"Ordinateur Portable",10,899.99,8999.9
"PC Gamer",3,1299,3897
"Power Bank 20000mAh",17,49.99,849.83
"Routeur Wi-Fi 6",11,189,2079
"SSD Externe 1To",15,89.99,1349.85
"SSD Externe 500Go",21,64.99,1364.79
"SSD M.2 1To",17,119.99,2039.83
"Scanner Document",7,199,1393
"Smartphone",9,699,6291
"Smartwatch",11,249,2739
"Souris 12 Boutons",7,129,903
"Souris Ambidextre",11,54.5,599.5
"Souris Design",24,42.99,1031.76
"Souris Ergonomique",24,34.99,839.76
"Souris Filaire",53,19.99,1059.47
"Souris Filaire Gaming",19,39.99,759.8100000000001
"Souris Gaming",26,45.5,1183
"Souris Gaming Pro",12,89.5,1074
"Souris Mobile",15,35.5,532.5
"Souris Sans Fil",30,29.99,899.6999999999999
"Souris Trackball",9,79.5,715.5
"Souris Verticale",21,59.9,1257.8999999999999
"Station d'accueil",9,199.99,1799.91
"Switch 16 Ports",9,129,1161
"Switch Réseau",12,89,1068
"Tablette Android",12,229,2748
"Tablette Dessin",4,599,2396
"Tablette Graphique",4,349,1396
"Tablette Windows",9,449,4041
"Tablette iOS",5,899,4495
"Webcam 1080p",19,69.99,1329.81
"Webcam 4K",12,149.5,1794
"Webcam Full HD",24,49.99,1199.76
"Webcam HD",38,39.99,1519.6200000000001
"Webcam PTZ",3,599,1797
"Webcam Streaming",9,179,1611
"Écouteurs Sans Fil",15,179,2685
"Écran 24""",8,299,2392
"Écran 240Hz",3,899,2697
"Écran 27""",6,399,2394
"Écran 29"" UltraWide",5,449,2245
"Écran 32"" Courbe",4,499,1996
"Écran 34"" UltraWide",4,799,3196
"Écran 4K 32""",3,699,2097
"Écran 75Hz",9,329,2961
"Écran Portable",6,349,2094
"Écran Portable 15""",3,299,897
"Écran Tactile 22""",3,599,1797
